year,month,Total Duration (Hours),SortableDate,MonthLabel
2021,1,7.0,2021-01-01,2021-01
2021,2,12.0,2021-02-01,2021-02
2021,3,19.1,2021-03-01,2021-03
2021,4,3.0,2021-04-01,2021-04
2021,5,35.5,2021-05-01,2021-05
2021,6,34.0,2021-06-01,2021-06
2021,7,8.0,2021-07-01,2021-07
2021,7,57.13333333333333,2021-07-01,2021-07
2021,8,37.0,2021-08-01,2021-08
2021,9,46.13333333333333,2021-09-01,2021-09
2021,10,17.0,2021-10-01,2021-10
2021,11,23.083333333333332,2021-11-01,2021-11
2021,12,21.883333333333333,2021-12-01,2021-12
2022,1,28.0,2022-01-01,2022-01
2022,3,18.5,2022-03-01,2022-03
2022,4,14.366666666666667,2022-04-01,2022-04
2022,5,7.166666666666667,2022-05-01,2022-05
2022,6,17.666666666666668,2022-06-01,2022-06
2022,7,26.0,2022-07-01,2022-07
2022,8,39.0,2022-08-01,2022-08
2022,9,7.0,2022-09-01,2022-09
2022,11,15.5,2022-11-01,2022-11
2022,12,15.0,2022-12-01,2022-12
2023,2,5.066666666666666,2023-02-01,2023-02
2023,3,10.45,2023-03-01,2023-03
2023,4,8.05,2023-04-01,2023-04
2023,5,30.566666666666666,2023-05-01,2023-05
2023,6,8.066666666666666,2023-06-01,2023-06
2023,7,0.3666666666666667,2023-07-01,2023-07
2023,8,12.1,2023-08-01,2023-08
2023,9,9.166666666666666,2023-09-01,2023-09
2024,1,10.35,2024-01-01,2024-01
2024,5,0.21666666666666667,2024-05-01,2024-05
2024,6,7.733333333333333,2024-06-01,2024-06
2024,8,33.68333333333333,2024-08-01,2024-08
2024,9,29.25,2024-09-01,2024-09
2024,10,70.0,2024-10-01,2024-10
2024,11,64.0,2024-11-01,2024-11
2024,12,4.0,2024-12-01,2024-12
2025,1,31.166666666666668,2025-01-01,2025-01
2025,2,0.15,2025-02-01,2025-02
2025,3,0.15,2025-03-01,2025-03
2025,5,34.916666666666664,2025-05-01,2025-05
2025,6,67.71666666666667,2025-06-01,2025-06
2025,7,43.0,2025-07-01,2025-07
2025,8,39.25,2025-08-01,2025-08
2025,9,65.26666666666667,2025-09-01,2025-09
2025,10,15.116666666666667,2025-10-01,2025-10
2025,11,24.0,2025-11-01,2025-11
